NO,W02:[CH#1]chamber heater press,W04:[CH#1]chamber heater press,W06:[CH#1]chamber heater press,W08:[CH#1]chamber heater press,W10:[CH#1]chamber heater press,W12:[CH#1]chamber heater press,W14:[CH#1]chamber heater press,W16:[CH#1]chamber heater press,W19:[CH#1]chamber heater press,W21:[CH#1]chamber heater press,W23:[CH#1]chamber heater press,W25:[CH#1]chamber heater press,
111,12340,12314,12314,12262,12301,12275,12365,12314,12314,12275,12275,12262,
112,12365,12275,12314,12262,12275,12275,12353,12314,12314,12262,12275,12262,
113,12353,12314,12314,12262,12275,12262,12340,12301,12275,12262,12275,12262,
114,12314,12301,12275,12262,12275,12275,12314,12275,12314,12262,12275,12262,
115,12314,12275,12314,12262,12275,12275,12353,12314,12275,12275,12275,12262,
116,12275,12288,12301,12262,12314,12262,12353,12275,12275,12262,12275,12262,
117,12327,12275,12275,12262,12301,12262,12314,12275,12301,12275,12275,12262,
118,12275,12288,12301,12262,12301,12262,12314,12275,12314,12262,12275,12262,
119,12314,6325,12314,12275,12275,12262,12353,12275,12275,12262,12275,12262,
120,12314,1125,12288,9300,6972,12262,12314,12275,12314,12262,12275,12262,
121,9986,320,12275,1236,1359,9417,5013,12275,3833,12262,12262,3388,
122,1522,201,11808,649,534,1485,1226,3536,1317,12237,2591,1065,
123,772,152,1775,366,322,650,562,1088,594,2333,1103,570,
124,409,127,735,266,241,403,365,580,348,881,518,337,
125,289,109,361,196,183,266,248,340,255,497,316,250,
126,210,99,263,156,147,197,186,251,191,307,238,187,
127,164,75,206,134,127,163,156,188,153,219,181,150,
128,140,43,162,115,110,134,130,151,131,177,146,125,
129,119,36,134,101,99,111,111,126,113,144,126,108,
130,103,19,117,81,75,100,101,109,99,121,109,91,
131,87,15,102,63,59,80,76,96,78,108,92,73,
132,67,11,80,53,49,63,60,74,61,90,74,58,
133,54,10,66,44,41,51,51,58,50,69,59,47,
134,46,6,53,38,35,44,43,49,42,58,49,41,
135,39,5,44,33,32,38,35,42,37,47,41,35,
136,34,3,38,25,22,32,28,34,32,41,36,32,
137,26,3,33,20,18,25,23,27,25,35,32,23,
138,21,2,25,17,15,20,18,21,19,28,23,18,
139,17,2,21,14,13,16,15,18,16,23,19,15,
140,15,1,17,12,11,14,13,15,14,18,16,13,
141,12,1,14,10,10,12,11,12,12,15,13,11,
142,11,1,12,9,9,10,10,11,10,13,11,10,
143,10,1,11,8,7,9,9,10,9,11,10,9,
144,8,1,9,6,6,8,7,8,8,10,9,7,
145,7,1,8,5,5,6,6,7,6,9,7,6,
146,6,1,7,5,5,6,5,6,5,7,6,5,
147,5,1,6,4,4,5,4,5,5,6,5,5,
148,4,1,5,3,3,4,3,4,4,5,5,3,
149,3,1,4,2,2,3,3,3,3,5,4,3,
150,3,1,3,2,2,2,2,3,2,4,3,2,
151,2,1,3,2,2,2,2,2,2,3,2,2,
152,2,1,2,1,1,2,2,2,2,2,2,2,
153,2,1,2,1,1,1,1,2,1,2,2,1,
154,1,1,1,1,1,1,1,1,1,2,1,1,
155,1,1,1,1,1,1,1,1,1,1,1,1,
156,1,1,1,1,1,1,1,1,1,1,1,1,
157,1,1,1,1,1,1,1,1,1,1,1,1,
158,1,1,1,1,1,1,1,1,1,1,1,1,
159,1,1,1,1,1,1,1,1,1,1,1,1,
160,1,1,1,1,1,1,1,1,1,1,1,1,
161,1,1,1,1,1,1,1,1,1,1,1,1,
162,1,1,1,1,1,1,1,1,1,1,1,1,
163,1,1,1,1,1,1,1,1,1,1,1,1,
164,1,1,1,1,1,1,1,1,1,1,1,1,
165,1,1,1,1,1,1,1,1,1,1,1,1,
166,1,1,1,1,1,1,1,1,1,1,1,1,
167,1,1,1,1,1,1,1,1,1,1,1,1,
168,1,1,1,1,1,1,1,1,1,1,1,1,
169,1,1,1,1,1,1,1,1,1,1,1,1,
170,1,1,1,1,1,1,1,1,1,1,1,1,
171,1,1,1,1,1,1,1,1,1,1,1,1,
172,1,0,1,1,1,1,1,1,1,1,1,1,
173,1,0,1,1,1,1,1,1,1,1,1,1,
174,1,0,1,1,1,1,1,1,1,1,1,1,
175,1,0,1,1,1,1,1,1,1,1,1,1,
176,1,0,1,1,1,1,1,1,1,1,1,1,
177,1,0,1,1,1,1,1,1,1,1,1,1,
178,1,0,1,1,1,1,1,1,1,1,1,1,
179,1,0,1,1,1,1,1,1,1,1,1,1,
180,1,0,1,1,1,1,1,1,1,1,1,1,
181,1,0,1,1,1,1,1,1,1,1,1,1,
182,1,0,1,1,1,1,1,1,1,1,1,1,
183,1,0,1,1,0,1,1,1,1,1,1,1,
184,1,0,1,0,0,1,0,1,1,1,1,1,
185,0,0,1,0,0,0,0,0,0,1,1,0,
186,0,0,0,0,0,0,0,0,0,1,0,0,
187,0,0,0,0,0,0,0,0,0,0,0,0,
188,0,0,0,0,0,0,0,0,0,0,0,0,
189,0,0,0,0,0,0,0,0,0,0,0,0,
190,0,0,0,0,0,0,0,0,0,0,0,0,
191,0,0,0,0,0,0,0,0,0,0,0,0,
192,0,0,0,0,0,0,0,0,0,0,0,0,
193,0,0,0,0,0,0,0,0,0,0,0,0,
194,0,0,0,0,0,0,0,0,0,0,0,0,
195,0,0,0,0,0,0,0,0,0,0,0,0,
196,0,0,0,0,0,0,0,0,0,0,0,0,
197,0,0,0,0,0,0,0,0,0,0,0,0,
198,0,0,0,0,0,0,0,0,0,0,0,0,
199,0,0,0,0,0,0,0,0,0,0,0,0,
200,0,0,0,0,0,0,0,0,0,0,0,0,
201,0,0,0,0,0,0,0,0,0,0,0,0,
202,0,0,0,0,0,0,0,0,0,0,0,0,
203,0,0,0,0,0,0,0,0,0,0,0,0,
204,0,0,0,0,0,0,0,0,0,0,0,0,
205,0,0,0,0,0,0,0,0,0,0,0,0,
206,0,0,0,0,0,0,0,0,0,0,0,0,
207,0,0,0,0,0,0,0,0,0,0,0,0,
208,0,0,0,0,0,0,0,0,0,0,0,0,
209,0,0,0,0,0,0,0,0,0,0,0,0,
210,0,0,0,0,0,0,0,0,0,0,0,0,
211,0,0,0,0,0,0,0,0,0,0,0,0,
212,0,0,0,0,0,0,0,0,0,0,0,0,
213,0,0,0,0,0,0,0,0,0,0,0,0,
214,0,1,0,0,0,0,0,0,0,0,0,0,
215,0,1,0,0,0,0,0,0,0,0,0,0,
216,0,1,0,0,0,0,0,0,0,0,0,0,
217,0,1,0,0,0,0,0,0,0,0,0,0,
218,0,1,0,0,0,0,0,0,0,0,0,0,
219,0,1,0,1,0,0,1,0,0,0,0,0,
220,1,1,0,1,1,0,0,0,1,0,1,1,
221,1,1,0,1,1,1,1,0,1,0,1,1,
222,1,1,1,1,1,1,1,1,1,1,1,1,
223,1,1,1,1,1,1,1,1,1,0,1,1,
224,1,1,1,1,1,1,1,1,1,1,1,1,
225,1,1,1,1,1,1,1,1,1,0,1,1,
226,1,1,1,1,1,1,1,1,1,1,1,1,
227,1,1,1,1,1,1,1,1,1,1,1,1,
228,1,1,1,1,1,1,1,1,1,1,1,1,
229,1,1,1,1,1,1,1,1,1,1,1,1,
230,1,1,1,1,1,1,1,1,1,1,1,1,
231,1,1,1,1,1,1,1,1,1,1,1,1,
232,1,1,1,1,1,1,1,1,1,1,1,1,
233,1,1,1,1,1,1,1,1,1,1,1,1,
234,1,1,1,1,1,1,1,1,1,1,1,1,
235,1,1,1,1,1,1,1,1,1,1,1,1,
236,1,1,1,1,1,1,1,1,1,1,1,1,
237,1,1,1,1,1,1,1,1,1,1,1,1,
238,1,1,1,1,1,1,1,1,1,1,1,1,
239,1,1,1,1,1,1,1,1,1,1,1,1,
240,1,1,1,1,1,1,1,1,1,1,1,1,
241,1,1,1,1,1,1,1,1,1,1,1,1,
242,1,1,1,1,1,1,1,1,1,1,1,1,
243,1,1,1,1,1,1,1,1,1,1,1,1,
244,1,1,1,1,1,1,1,1,1,1,1,1,
245,1,1,1,1,1,1,1,1,1,1,1,1,
246,1,1,1,1,1,1,1,1,1,1,1,1,
247,1,1,1,1,1,1,1,1,1,1,1,1,
248,1,1,1,1,1,1,1,1,1,1,1,1,
249,1,1,1,1,1,1,1,1,1,1,1,1,
250,1,1,1,1,1,1,1,1,1,1,1,1,
251,1,1,1,1,1,1,1,1,1,1,1,1,
252,1,1,1,1,1,1,1,1,1,1,1,1,
253,1,0,1,1,1,1,1,1,1,1,1,1,
254,1,0,1,1,1,1,1,1,1,1,1,1,
255,1,0,1,1,1,1,1,1,1,1,1,1,
256,1,0,1,1,1,1,1,1,1,1,1,1,
257,1,0,1,1,1,1,1,1,1,1,1,1,
258,1,0,1,1,1,1,1,1,1,1,1,1,
259,1,0,1,1,1,1,1,1,1,1,1,1,
260,1,0,1,1,1,1,1,1,1,1,1,1,
261,1,0,1,1,1,1,1,1,1,1,1,1,
262,1,0,1,1,1,1,1,1,1,1,1,1,
263,1,0,1,1,1,1,1,1,1,1,1,1,
264,1,0,1,1,0,1,1,1,1,1,1,0,
265,0,0,1,0,0,0,0,1,1,1,1,0,
266,0,0,0,0,0,0,0,0,0,1,0,0,
267,0,0,0,0,0,0,0,0,0,1,0,0,
268,0,0,0,0,0,0,0,0,0,0,0,0,
269,0,0,0,0,0,0,0,0,0,0,0,0,
270,0,0,0,0,0,0,0,0,0,0,0,0,
271,0,0,0,0,0,0,0,0,0,0,0,0,
272,0,0,0,0,0,0,0,0,0,0,0,0,
273,0,0,0,0,0,0,0,0,0,0,0,0,
274,0,0,0,0,0,0,0,0,0,0,0,0,
275,0,0,0,0,0,0,0,0,0,0,0,0,
276,0,0,0,0,0,0,0,0,0,0,0,0,
277,0,0,0,0,0,0,0,0,0,0,0,0,
278,0,0,0,0,0,0,0,0,0,0,0,0,
279,0,0,0,0,0,0,0,0,0,0,0,0,
280,0,0,0,0,0,0,0,0,0,0,0,0,
281,0,0,0,0,0,0,0,0,0,0,0,0,
282,0,0,0,0,0,0,0,0,0,0,0,0,
283,0,0,0,0,0,0,0,0,0,0,0,0,
284,0,0,0,0,0,0,0,0,0,0,0,0,
285,0,0,0,0,0,0,0,0,0,0,0,0,
286,0,0,0,0,0,0,0,0,0,0,0,0,
287,0,0,0,0,0,0,0,0,0,0,0,0,
288,0,0,0,0,0,0,0,0,0,0,0,0,
289,0,0,0,0,0,0,0,0,0,0,0,0,
290,0,0,0,0,0,0,0,0,0,0,0,0,
291,0,1,0,0,0,0,0,0,0,0,0,0,
292,0,1,0,0,0,0,0,0,0,0,0,0,
293,0,1,0,0,0,0,0,0,0,0,0,0,
294,0,1,0,0,0,0,0,0,0,0,0,0,
295,0,1,0,0,0,0,0,0,0,0,0,0,
296,0,1,0,0,0,0,0,0,0,0,0,0,
297,0,1,0,0,0,0,0,0,0,0,0,0,
298,0,1,0,0,0,0,0,0,0,0,0,0,
299,0,1,0,0,0,0,0,0,0,0,0,0,
300,0,1,0,0,0,0,0,0,0,0,0,0,
301,0,0,0,0,1,0,0,0,0,0,0,0,
302,0,0,0,0,1,1,1,0,0,0,0,1,
303,1,0,0,0,1,1,1,1,0,0,0,0,
304,1,0,0,1,1,1,1,1,1,1,1,1,
305,1,0,1,1,1,1,1,1,1,1,1,1,
306,1,0,1,1,1,1,1,1,1,1,1,1,
307,0,0,1,1,1,1,1,1,1,1,1,1,
308,1,0,1,1,1,1,1,1,1,1,1,1,
309,1,0,1,1,1,1,1,1,1,1,1,1,
310,1,0,1,1,1,1,1,1,1,1,1,1,
311,1,0,1,1,1,1,1,1,1,1,1,1,
312,1,0,1,1,1,1,1,1,1,1,1,1,
313,1,0,1,1,1,1,1,1,1,1,1,1,
314,1,0,1,1,1,1,1,1,1,1,1,1,
315,1,0,1,1,1,1,1,1,1,1,1,1,
316,1,0,1,1,1,1,1,1,1,1,1,1,
317,1,0,1,1,1,1,1,1,1,1,1,1,
318,1,0,1,1,1,1,1,1,1,1,1,1,
319,1,0,1,1,1,1,1,1,1,1,1,1,
320,1,0,1,1,1,1,1,1,1,1,1,1,
321,1,0,1,1,1,1,1,1,1,1,1,1,
322,1,0,1,1,1,1,1,1,1,1,1,1,
323,1,0,1,1,1,1,1,1,1,1,1,1,
324,1,0,1,1,1,1,1,1,1,1,1,1,
325,1,0,1,1,1,1,1,1,1,1,1,1,
326,1,0,1,1,1,1,1,1,1,1,1,1,
327,1,0,1,1,1,1,1,1,1,1,1,1,
328,1,0,1,1,1,1,1,1,1,1,1,1,
329,1,0,1,1,1,1,1,1,1,1,1,1,
330,1,0,1,1,1,1,1,1,1,1,1,1,
331,1,0,1,1,1,1,1,1,1,1,1,1,
332,1,0,1,1,1,1,1,1,1,1,1,1,
333,1,0,1,1,1,1,1,1,1,1,1,1,
334,1,0,1,1,1,1,1,1,1,1,1,1,
335,1,0,1,1,1,1,1,1,1,1,1,1,
336,1,0,1,1,1,1,1,1,1,1,1,1,
337,1,0,1,1,1,1,1,1,1,1,1,1,
338,1,0,1,1,1,1,1,1,1,1,1,1,
339,1,0,1,1,1,1,1,1,1,1,1,1,
340,1,0,1,1,1,1,1,1,1,1,1,1,
341,1,0,1,1,1,1,1,1,1,1,1,1,
342,1,0,1,1,1,1,1,1,1,1,1,1,
343,1,0,1,1,1,1,1,1,1,1,1,1,
344,1,,1,1,1,1,1,1,1,1,1,1,
345,1,,1,1,0,1,1,1,1,1,1,0,
346,0,,1,0,0,0,0,1,1,1,1,0,
347,0,,0,0,0,0,0,1,0,1,0,0,
348,0,,0,0,0,0,0,0,0,0,0,0,
349,0,,0,0,0,0,0,0,0,0,0,0,
350,0,,0,0,0,0,0,0,0,0,0,0,
351,0,,0,0,0,0,0,0,0,0,0,0,
352,0,,0,0,0,0,0,0,0,0,0,0,
353,0,,0,0,0,0,0,0,0,0,0,0,
354,0,,0,0,0,0,0,0,0,0,0,0,
355,0,,0,0,0,0,0,0,0,0,0,0,
356,0,,0,0,0,0,0,0,0,0,0,,
357,,,0,,,0,0,0,0,0,0,,
358,,,0,,,,,0,,0,,,
