NO,W18:SVPLATEN1 STATUS CONDHEADPSI,W01:SVPLATEN1 STATUS CONDHEADPSI,W02:SVPLATEN1 STATUS CONDHEADPSI,W03:SVPLATEN1 STATUS CONDHEADPSI,W04:SVPLATEN1 STATUS CONDHEADPSI,W05:SVPLATEN1 STATUS CONDHEADPSI,W06:SVPLATEN1 STATUS CONDHEADPSI,W07:SVPLATEN1 STATUS CONDHEADPSI,W08:SVPLATEN1 STATUS CONDHEADPSI,W09:SVPLATEN1 STATUS CONDHEADPSI,W10:SVPLATEN1 STATUS CONDHEADPSI,W11:SVPLATEN1 STATUS CONDHEADPSI,W12:SVPLATEN1 STATUS CONDHEADPSI,W13:SVPLATEN1 STATUS CONDHEADPSI,W14:SVPLATEN1 STATUS CONDHEADPSI,W15:SVPLATEN1 STATUS CONDHEADPSI,W16:SVPLATEN1 STATUS CONDHEADPSI,W17:SVPLATEN1 STATUS CONDHEADPSI,W18:SVPLATEN1 STATUS CONDHEADPSI,W19:SVPLATEN1 STATUS CONDHEADPSI,W20:SVPLATEN1 STATUS CONDHEADPSI,W21:SVPLATEN1 STATUS CONDHEADPSI,W22:SVPLATEN1 STATUS CONDHEADPSI,W23:SVPLATEN1 STATUS CONDHEADPSI,W24:SVPLATEN1 STATUS CONDHEADPSI,W25:SVPLATEN1 STATUS CONDHEADPSI
55,4.765,4.775,4.763,4.763,4.678,4.745,4.423,4.775,4.751,4.739,4.733,4.782,4.757,4.775,4.745,4.806,4.757,4.751,4.782,4.775,4.708,4.812,4.739,4.739,4.782,4.794
56,4.796,4.818,4.854,4.794,4.757,4.794,4.397,4.788,4.775,4.788,4.733,4.788,4.818,4.788,4.757,4.812,4.751,4.769,4.788,4.757,4.782,4.775,4.733,4.788,4.769,4.788
57,4.78,4.812,4.83,4.782,4.775,4.806,4.397,4.763,4.812,4.818,4.763,4.782,4.836,4.775,4.782,4.806,4.769,4.745,4.818,4.769,4.757,4.769,4.751,4.751,4.794,4.775
58,4.78,4.836,4.83,4.788,4.721,4.763,4.408,4.8,4.8,4.782,4.782,4.788,4.83,4.769,4.812,4.745,4.788,4.782,4.757,4.788,4.782,4.821,4.775,4.769,4.818,4.751
59,4.772,4.843,4.824,4.788,4.794,4.763,4.402,4.83,4.751,4.794,4.769,4.769,4.806,4.775,4.812,4.751,4.769,4.751,4.836,4.745,4.775,4.794,4.775,4.769,4.812,4.745
60,4.799,4.806,4.824,4.818,4.757,4.757,4.392,4.782,4.794,4.775,4.757,4.769,4.83,4.812,4.806,4.769,4.775,4.751,4.763,4.739,4.818,4.794,4.751,4.763,4.769,4.769
61,4.777,4.824,4.794,4.806,4.775,4.782,4.386,4.769,4.782,4.769,4.775,4.782,4.87,4.794,4.763,4.782,4.763,4.733,4.818,4.775,4.788,4.751,4.757,4.745,4.794,4.769
62,4.784,4.859,4.843,4.763,4.757,4.763,4.418,4.751,4.782,4.763,4.763,4.763,4.812,4.8,4.806,4.775,4.757,4.775,4.794,4.763,4.794,4.83,4.8,4.757,4.788,4.775
63,4.787,4.865,4.812,4.769,4.769,4.788,4.439,4.775,4.769,4.775,4.806,4.769,4.775,4.8,4.788,4.8,4.754,4.788,4.83,4.745,4.769,4.818,4.788,4.763,4.794,4.794
64,4.787,4.843,4.812,4.775,4.757,4.751,4.397,4.763,4.824,4.788,4.782,4.769,4.8,4.818,4.806,4.794,4.794,4.739,4.806,4.818,4.782,4.788,4.733,4.775,4.818,4.745
65,4.777,4.836,4.794,4.769,4.782,4.751,4.413,4.769,4.775,4.806,4.769,4.769,4.788,4.775,4.794,4.763,4.794,4.757,4.794,4.757,4.769,4.806,4.763,4.757,4.8,4.751
66,4.78,4.881,4.8,4.775,4.794,4.757,4.402,4.782,4.769,4.775,4.769,4.782,4.836,4.769,4.794,4.757,4.775,4.733,4.775,4.745,4.779,4.782,4.751,4.739,4.83,4.769
67,4.792,4.812,4.812,4.788,4.763,4.763,4.413,4.782,4.757,4.763,4.754,4.782,4.83,4.788,4.788,4.745,4.763,4.739,4.782,4.745,4.83,4.782,4.769,4.794,4.782,4.757
68,4.801,4.824,4.833,4.751,4.775,4.812,4.402,4.788,4.782,4.733,4.788,4.782,4.782,4.806,4.812,4.769,4.794,4.788,4.769,4.794,4.757,4.775,4.782,4.763,4.763,4.775
69,4.78,4.843,4.843,4.745,4.751,4.757,4.429,4.739,4.757,4.739,4.8,4.739,4.757,4.769,4.757,4.751,4.794,4.745,4.794,4.782,4.769,4.824,4.757,4.794,4.782,4.775
70,4.777,4.897,4.818,4.775,4.763,4.794,4.386,4.782,4.8,4.8,4.769,4.769,4.818,4.818,4.769,4.769,4.766,4.763,4.788,4.751,4.775,4.782,4.782,4.745,4.812,4.824
71,4.789,4.87,4.812,4.769,4.769,4.806,4.408,4.757,4.794,4.769,4.739,4.782,4.806,4.8,4.775,4.751,4.757,4.806,4.763,4.769,4.769,4.818,4.727,4.733,4.782,4.751
72,4.78,4.849,4.836,4.794,4.763,4.757,4.418,4.794,4.775,4.8,4.733,4.782,4.794,4.794,4.8,4.733,4.794,4.788,4.794,4.763,4.775,4.806,4.733,4.733,4.794,4.751
73,4.777,4.849,4.806,4.794,4.763,4.751,4.397,4.782,4.763,4.788,4.775,4.788,4.782,4.788,4.769,4.757,4.775,4.769,4.751,4.733,4.83,4.775,4.727,4.739,4.8,4.782
74,4.784,4.87,4.824,4.794,4.745,4.757,4.392,4.794,4.757,4.751,4.739,4.757,4.824,4.806,4.788,4.775,4.751,4.739,4.775,4.769,4.806,4.782,4.775,4.757,4.769,4.788
75,4.777,4.854,4.83,4.775,4.733,4.782,4.397,4.775,4.775,4.745,4.782,4.775,4.849,4.794,4.788,4.763,4.775,4.8,4.763,4.751,4.763,4.763,4.794,4.739,4.782,4.733
76,4.78,4.83,4.843,4.757,4.757,4.727,4.37,4.757,4.782,4.769,4.782,4.763,4.788,4.763,0,4.782,4.733,4.751,4.782,4.733,4.769,4.757,4.739,4.751,4.775,4.763
77,4.777,4.854,4.806,4.812,4.751,4.788,4.381,4.8,4.775,4.782,4.775,4.763,4.763,4.794,0,4.824,4.751,4.745,4.782,4.751,4.757,4.763,4.763,4.733,4.812,4.757
78,4.782,4.865,0,4.794,4.788,4.775,4.392,4.745,4.806,4.806,4.763,4.733,4.818,4.824,0,4.794,4.794,4.763,4.782,4.788,4.806,4.775,4.812,4.763,4.8,4.788
79,0,4.878,0,0,0,4.794,4.381,4.818,4.782,0,4.757,4.788,0,0,0,0,0,4.812,0,4.788,0,0,0,0,0,0
80,0,0,0,0,0,0,0,4.812,0,0,0,4.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
86,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,
87,,0,,,,0,0,,0,,0,0,,,,,,,,,,,,,,
88,,,,,,,,,,,,0,,,,,,,,,,,,,,
